Drug,CYP***,Action,Species,Database,refence_1,reference_2,reference_3,Strength
Delavirdine mesylate (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Diclofenac (USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Diclofenac potassium (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Diclofenac sodium (JP17/USP), 2C9, substrate, Not Specified, KEGG, , , , 
Diclofenac diethylamine, 2C9, substrate, Not Specified, KEGG, , , , 
Diclofenac hydroxyethylpyrrolidine, 2C9, substrate, Not Specified, KEGG, , , , 
Diclofenac calcium, 2C9, substrate, Not Specified, KEGG, , , , 
Dronabinol (USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Entacapone (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Etizolam (JP17/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Etravirine (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Fluconazole (JP17/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Fosfluconazole (JAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Fluoxetine (USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Fluoxetine hydrochloride (JAN/USP), 2C9, substrate, Not Specified, KEGG, , , , 
Flurbiprofen (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Flurbiprofen sodium (USP), 2C9, substrate, Not Specified, KEGG, , , , 
Flurbiprofen axetil (JAN), 2C9, substrate, Not Specified, KEGG, , , , 
Esflurbiprofen (JAN), 2C9, substrate, Not Specified, KEGG, , , , 
Fluvastatin (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Fluvastatin sodium (JAN/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Fosamprenavir (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Fosamprenavir calcium hydrate (JAN), 2C9, substrate, Not Specified, KEGG, , , , 
Fosamprenavir calcium (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Fosamprenavir sodium (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Fosphenytoin (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Fosphenytoin sodium (USP), 2C9, substrate, Not Specified, KEGG, , , , 
Fosphenytoin sodium hydrate (JAN), 2C9, substrate, Not Specified, KEGG, , , , 
Glyburide (USP), 2C9, substrate, Not Specified, KEGG, , , , 
Glimepiride (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Glipizide (USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Hexobarbital (JAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Ibuprofen (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Ibuprofen piconol (JP17/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Ibuprofen aluminum (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Ibuprofen lysine (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Ibuprofen arginine salt, 2C9, substrate, Not Specified, KEGG, , , , 
Ibuprofen sodium, 2C9, substrate, Not Specified, KEGG, , , , 
Ibuprofen sodium (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Imatinib (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Imatinib mesylate (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Irbesartan (JP17/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Leflunomide (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Lornoxicam (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Losartan (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Losartan potassium (JP17/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Losartan potassium and hydrochlorothiazide tablets (JP17), 2C9, substrate, Not Specified, KEGG, , , , 
Pioglitazone hydrochloride and glimepiride tablets (JP17), 2C9, substrate, Not Specified, KEGG, , , , 
Mefenamic acid (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Meloxicam (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Miconazole (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Miconazole nitrate (JP17/USP), 2C9, substrate, Not Specified, KEGG, , , , 
Modafinil (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Mofezolac (JAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Montelukast (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Montelukast sodium (JP17/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Naproxen (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Naproxen sodium (USP), 2C9, substrate, Not Specified, KEGG, , , , 
Naproxen etemesil (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Naratriptan (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Naratriptan hydrochloride (JAN/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Nateglinide (JP17/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Nelfinavir (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Nelfinavir mesylate (USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Phenytoin (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , Narrow
Phenytoin sodium (USP), 2C9, substrate, Not Specified, KEGG, , , , Narrow
Phenytoin - phenobarbital - caffeine and sodium benzoate, 2C9, substrate, Not Specified, KEGG, , , , 
Phenytoin - phenobarbital mixt, 2C9, substrate, Not Specified, KEGG, , , , 
Piroxicam (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Piroxicam betadex (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Piroxicam cinnamate (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Piroxicam olamine (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Pitavastatin calcium (JAN), 2C9, substrate, Not Specified, KEGG, , , , 
Pitavastatin calcium hydrate (JP17), 2C9, substrate, Not Specified, KEGG, , , , 
Quazepam (JAN/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Rosiglitazone (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Rosiglitazone maleate (JAN/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Sarpogrelate (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Sarpogrelate hydrochloride (JP17), 2C9, substrate, Not Specified, KEGG, , , , 
Sertraline (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Sertraline hydrochloride (JAN/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Sildenafil (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Sildenafil citrate (JAN/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Simvastatin (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Sorafenib (USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Sorafenib tosylate (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Suprofen (JAN/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Tamoxifen (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Tamoxifen citrate (JP17/USP), 2C9, substrate, Not Specified, KEGG, , , , 
Terbinafine (USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Terbinafine hydrochloride (JP17/USP), 2C9, substrate, Not Specified, KEGG, , , , 
Tenoxicam (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Tolbutamide (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
"Tolbutamide sodium sterile""", 2C9, substrate, Not Specified, KEGG, , , , 
Torsemide (USP), 2C9, substrate, Not Specified, KEGG, , , , 
Torasemide sodium, 2C9, substrate, Not Specified, KEGG, , , , 
Tranilast (JP17/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Trimethadione (JP17/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Valproic acid (USP), 2C9, substrate, Not Specified, KEGG, , , , 
Divalproex sodium (USP), 2C9, substrate, Not Specified, KEGG, , , , 
Valproate sodium (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Calcium valproate, 2C9, substrate, Not Specified, KEGG, , , , 
Valsartan (JP17/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Vardenafil (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Vardenafil dihydrochoride (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Vardenafil hydrochloride hydrate (JAN), 2C9, substrate, Not Specified, KEGG, , , , 
Vardenafil hydrochloride (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Voriconazole (JP17/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Warfarin (INN), 2C9, substrate, Not Specified, KEGG, , , , Narrow
Warfarin sodium (USP), 2C9, substrate, Not Specified, KEGG, , , , Narrow
Warfarin potassium (JP17), 2C9, substrate, Not Specified, KEGG, , , , Narrow
Zolpidem (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Zolpidem tartrate (JP17/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Diazepam (JP17/USP/INN), 2C18, substrate, Not Specified, KEGG, , , , 
Amitriptyline (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Amitriptyline hydrochloride (JP17/USP), 2C19, substrate, Not Specified, KEGG, , , , 
Amoxapine (JP17/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Armodafinil (USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Bortezomib (JAN/USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Bosentan (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Bosentan (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Carisoprodol (JAN/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Chloramphenicol (JP17/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Chloramphenicol palmitate (JP17/USP), 2C19, substrate, Not Specified, KEGG, , , , 
Chloramphenicol sodium succinate (JP17/USP), 2C19, substrate, Not Specified, KEGG, , , , 
Chloramphenicol stearate, 2C19, substrate, Not Specified, KEGG, , , , 
Chloramphenicol succinate, 2C19, substrate, Not Specified, KEGG, , , , 
Cilnidipine (JP17/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Cilostazol (JP17/USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Clopidogrel (USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Clopidogrel bisulfate (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Clobazam (JAN/USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Clomipramine (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Clomipramine hydrochloride (JP17/USP), 2C19, substrate, Not Specified, KEGG, , , , 
Dabrafenib mesylate (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Delavirdine (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Delavirdine mesylate (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Dexlansoprazole (INN/USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Dexpropranolol hydrochloride (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Diazepam (JP17/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Escitalopram (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Escitalopram oxalate (JAN/USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Esomeprazole (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Esomeprazole magnesium (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Esomeprazole sodium (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Esomeprazole potassium (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Esomeprazole strontium (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Etizolam (JP17/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Etravirine (JAN/USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Fluconazole (JP17/USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Fosfluconazole (JAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Flurazepam (JAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Flurazepam hydrochloride (USP), 2C19, substrate, Not Specified, KEGG, , , , 
Flurazepam hydrochloride (JP17), 2C19, substrate, Not Specified, KEGG, , , , 
Fluvoxamine (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Fluvoxamine maleate (JP17/USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Fosphenytoin (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Fosphenytoin sodium (USP), 2C19, substrate, Not Specified, KEGG, , , , 
Fosphenytoin sodium hydrate (JAN), 2C19, substrate, Not Specified, KEGG, , , , 
Hexobarbital (JAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Imipramine (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Imipramine hydrochloride (JP17/USP), 2C19, substrate, Not Specified, KEGG, , , , 
Imipramine pamoate (USP), 2C19, substrate, Not Specified, KEGG, , , , 
Indomethacin (USP), 2C19, substrate, Not Specified, KEGG, , , , 
Indometacin farnesil (JAN), 2C19, substrate, Not Specified, KEGG, , , , 
Indomethacin sodium (USP), 2C19, substrate, Not Specified, KEGG, , , , 
Lansoprazole (JP17/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , Sensitive
Amoxicillin hydrate - clarithromycin - lansoprazole mixt, 2C19, substrate, Not Specified, KEGG, , , , 
Leflunomide (JAN/USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Mephenytoin (USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
(S)-Mephenytoin, 2C19, substrate, Not Specified, KEGG, , , , Narrow & Sensitive
Mephobarbital (JAN/USP), 2C19, substrate, Not Specified, KEGG, , , , 
Moclobemide (USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Modafinil (JAN/USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Nelfinavir (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Nelfinavir mesylate (USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Nilutamide (USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Nordazepam (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Omeprazole (JP17/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , Sensitive
Omeprazole sodium (USAN), 2C19, substrate, Not Specified, KEGG, , , , Sensitive
Omeprazole sodium injection (JAN), 2C19, substrate, Not Specified, KEGG, , , , Sensitive
Omeprazole magnesium (USAN), 2C19, substrate, Not Specified, KEGG, , , , Sensitive
Pantoprazole (USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Pantoprazole sodium (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Phenobarbital (JP17/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Phenobarbital sodium (JAN/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Phenobarbital diethylamine, 2C19, substrate, Not Specified, KEGG, , , , 
Phenytoin (JP17/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Phenytoin sodium (USP), 2C19, substrate, Not Specified, KEGG, , , , 
Phenytoin - phenobarbital - caffeine and sodium benzoate, 2C19, substrate, Not Specified, KEGG, , , , 
Phenytoin - phenobarbital mixt, 2C19, substrate, Not Specified, KEGG, , , , 
Primidone (JP17/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Progesterone (JP17/USP/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Proguanil (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Proguanil hydrochloride (JAN), 2C19, substrate, Not Specified, KEGG, , , , 
Propranolol (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Propranolol hydrochloride (JP17/USP), 2C19, substrate, Not Specified, KEGG, , , , 
Rabeprazole (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Rabeprazole sodium (JP17/USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Sarpogrelate (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Sarpogrelate hydrochloride (JP17), 2C19, substrate, Not Specified, KEGG, , , , 
Sertraline (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Sertraline hydrochloride (JAN/USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Stiripentol (JAN/USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Terbinafine (USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Terbinafine hydrochloride (JP17/USP), 2C19, substrate, Not Specified, KEGG, , , , 
Teniposide (USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Vardenafil (INN), 2C19, substrate, Not Specified, KEGG, , , , 
Vardenafil dihydrochoride (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Vardenafil hydrochloride hydrate (JAN), 2C19, substrate, Not Specified, KEGG, , , , 
Vardenafil hydrochloride (USAN), 2C19, substrate, Not Specified, KEGG, , , , 
Voriconazole (JP17/USAN/INN), 2C19, substrate, Not Specified, KEGG, , , , 
Ajmaline (JP17), 2D6, substrate, Not Specified, KEGG, , , , 
Alprenolol (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Alprenolol hydrochloride (JP17/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Amfetamine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Amphetamine sulfate (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Amiodarone (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Amiodarone hydrochloride (JP17/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Amitriptyline (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Amitriptyline hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Amoxapine (JP17/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Aprindine (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Aripiprazole (JAN/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Atenolol (JP17/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Atomoxetine (INN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Atomoxetine hydrochloride (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Bepridil (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Bepridil hydrochloride (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Bopindolol (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Bopindolol malonate (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Bunitrolol hydrochloride (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Carteolol (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Carteolol hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Carvedilol (JAN/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Carvedilol phosphate (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Celecoxib (JAN/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Cevimeline (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Cevimeline hydrochloride (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Chlorphenamine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Chlorpheniramine maleate (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Chlorpheniramine polistirex (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Chlorpromazine (USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Chlorpromazine hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Chlorpromazine hibenzate (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Chlorpromazine phenolphthalinate (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Chlorpromazine tannate (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Cifenline (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Cifenline succinate (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Cilnidipine (JP17/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Cilostazol (JP17/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Cimetidine hydrochloride (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Cinnarizine (JAN/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Cinnarizine dihydrochloride, 2D6, substrate, Not Specified, KEGG, , , , 
Citalopram (USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Citalopram hydrobromide (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Citalopram hydrochloride, 2D6, substrate, Not Specified, KEGG, , , , 
Clomipramine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Clomipramine hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Codeine (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Codeine phosphate (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Codeine sulfate (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Codeine hydrochloride, 2D6, substrate, Not Specified, KEGG, , , , 
Debrisoquin sulfate (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Delavirdine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Delavirdine mesylate (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Desipramine (INN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Desipramine hydrochloride (JAN/USP), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Dextroamphetamine (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Dextroamphetamine sulfate (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Dexchlorpheniramine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Dexchlorpheniramine maleate (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Dexfenfluramine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Dexfenfluramine hydrochloride (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Dexpropranolol hydrochloride (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Dextromethorphan hydrobromide (USP), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Dextromethorphan (USP), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Dextromethorphan polistirex (USAN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Dextromethorphan hydrobromide - potassium cresolsulfonate mixt, 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Dihydrocodeine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Dihydrocodeine phosphate (JP17), 2D6, substrate, Not Specified, KEGG, , , , 
Diphenhydramine (JP17/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Diphenhydramine hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Diphenhydramine salicylate (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Diphenhydramine tannate (JP17), 2D6, substrate, Not Specified, KEGG, , , , 
Diphenhydramine laurylsulfate (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Diphenhydramine citrate (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Donepezil (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Donepezil hydrochloride (JP17/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Dothiepin hydrochloride (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Doxepin (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Doxepin hydrochloride (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Duloxetine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Duloxetine hydrochloride (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Encainide (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Encainide hydrochloride (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Escitalopram (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Escitalopram oxalate (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Alcohol (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Ethanol (JP17), 2D6, substrate, Not Specified, KEGG, , , , 
Fluoxetine (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Fluoxetine hydrochloride (JAN/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Flecainide (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Flecainide acetate (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Flunarizine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Flunarizine hydrochloride (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Fluphenazine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Fluphenazine hydrochloride (JAN/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Fluphenazine decanoate (JAN/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Fluvoxamine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Fluvoxamine maleate (JP17/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Fosamprenavir (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Fosamprenavir calcium hydrate (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Fosamprenavir calcium (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Fosamprenavir sodium (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Haloperidol (JP17/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Haloperidol decanoate (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Haloperidol lactate, 2D6, substrate, Not Specified, KEGG, , , , 
Imatinib (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Imatinib mesylate (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Imipramine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Imipramine hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Imipramine pamoate (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Leflunomide (JAN/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Methotrimeprazine (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Levomepromazine hydrochloride (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Levomepromazine maleate (JP17/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Lidocaine (JP17/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Lidocaine hydrochloride (JAN/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Lidocaine hydrochloride monohydrate, 2D6, substrate, Not Specified, KEGG, , , , 
Loratadine (JAN/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Maprotiline (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Maprotiline hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Mequitazine (JP17/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Metoclopramide (JP17/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Metoclopramide hydrochloride (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Metoclopramide hydrochloride (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Metoprolol (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Metoprolol tartrate (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Metoprolol succinate (USP), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Metoprolol fumarate (USP), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Mexiletine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
